Sr No.	Club Name	Households	Address	Contact Number	Email ID	Website
23	Mid-Hudson Road Runners Club	419	"PO Box 157, LaGrangeville, NY 12540"	(845) 473-5918	gra176@aol.com	http://www.mhrrc.org/
24	NewRo Runners	160	"608 Harold St, Mamaroneck, NY 10543"	(917) 860-7391	info@soundshorerun.com	http://www.soundshorerun.com/
25	"Hambletonian Marathon, Inc."	10	"55 North Street, Middletown, NY 10940"	(845) 294-9447	info@hambletonianmarathon.com	http://www.hambletonianmarathon.com/
26	Black Sheep Runners	25	"P.O. Box 1636, New York, NY 10163"	(347) 554-7688	N/A	http://blacksheeprunners.com/
27	"East River Park Track Club, Inc."	22	"PO Box 444, New York, NY 10002"	(646) 403-4758	info@erptc.org	http://erptc.org/
28	Front Runners New York	857	"PO Box 230087, Ansonia Station, New York, NY 10023"	(646) 884-1339	secretary@frny.org	http://www.frny.org/
29	New York Flyers Incorporated	603	"800 Riverside Drive, Apt. GRE, New York, NY 10032"	(917) 710-7168	president@nyflyers.org	http://www.nyflyers.org/
30	New York Harriers	210	"350 W 50th St, Apt 28D, New York, NY 10019"	(917) 553-9621	nyharriers@gmail.com	http://newyorkharriers.com/
31	NYC Endurance	20	"3 Weehawken st, apt 5a, New York, NY 10014"	N/A	brian@nycendurance.com	N/A
32	"Run2LIVE, Inc."	13	"151 First Ave, Suite 90, New York, NY 10003"	(646) 664-1734	info@runtwolive.org	http://runtwolive.org/
33	Trail WhippAss	5	"32 east 76th st, new york, NY 10021"	(347) 244-0869	papa@trailwhippass.com	http://trailwhippass.com/
34	Urban Athletics	75	"1291 Madison Avenue, New York, NY 10128"	(212) 828-1906	info@urbanathleticsnyc.com	http://urbanathleticsnyc.com/
35	Northport Running Club	316	"P.O. BOX 554, Northport, NY 11768-0554"	(631) 356-2419	steveos@optonline.net	http://www.nrcrun.org/
36	Greater Rochester Track Club	464	"PO Box 92608, Rochester, NY 14692"	(585) 410-0584	N/A	http://www.grtconline.org/
37	Rochester Running Rebels Track Club Inc.	12	"17 Constitution, Rochester, NY 14624"	(585) 672-5538	intrest100@aol.com	http://www.leaguelineup.com/welcome.asp?url=runningrebelstrackclub
38	Sullivan Striders Club	75	"PO Box 702, Rock Hill, NY 12775"	(845) 707-0506	cwest845@gmail.com	http://www.sullivanstriders.org/
39	Roman Runners	100	"1101 N. George St, Rome, NY 13440"	(315) 337-0753	romanrunners@romanrunners.com	http://www.romanrunners.com/
40	Saratoga Stryders	190	"P.O. Box 1467, Saratoga Springs, NY 12866"	N/A	info@saratogastryders.org	http://www.saratogastryders.org/
41	Taconic Road Runners Club	269	"P.O. Box 711, Shrub Oak, NY 10588"	(914) 864-2512	efm1129@hotmail.com	http://www.runner.org/
42	Rivertown Runners	87	"PO Box 8384, Sleepy Hollow, NY 10591"	(773) 209-7789	rivertownrunners@gmail.com	http://www.rivertownrunners.org/
43	Syracuse Track Club	350	"340 Montgomery St, c/o YMCA, Syracuse, NY 13202"	(315) 474-6851	webmaster@syracusetrackclub.org	http://www.syracusetrackclub.org/
44	La Chute Road Runners	32	"26 Amherst Ave., Ticonderoga, NY 12883"	(518) 926-8005	jim4c4@designden.us	http://www.lachute.us/
45	"Utica Roadrunners, Inc"	453	"PO Box 4141, Utica, NY 13504-4141"	(315) 797-0343	run1@dissidents.com	http://uticaroadrunners.org/
46	Sisu Athletic Development	1	"4810 Jenkins Road, Vernon, NY 13476"	(315) 440-7261	coachwest@sisuathletic.com	http://www.sisuathletic.com/
47	D.I.R.T. CLUB	10	"267 Fiske Road, West Chazy, NY 12992"	(518) 376-1809	dirtclub@rocketmail.com	N/A
48	Greenburgh Road Runners	10	"615 Plamer Road, #103, Yonkers, NY 10701"	(914) 316-9257	nbonacci@optonline.net	N/A
