Sr No.	Club Name	Households	Address	Contact Number	Email ID	Website
99	Tahoe Mountain Milers Running Club	66	"PO Box 14456, South Lake Tahoe, CA 96151-4456"	(530) 542-3424	tmmrc@sbcglobal.net	http://www.tahoemtnmilers.org/
100	TR4CK	4	"3569 Morton Drive, South Lake Tahoe, CA, CA 96150"	(530) 541-8519	mjpawling@att.net	N/A
101	Donner Party Mountain Runners	35	"PO Box 3469, Truckee, CA 96160"	(530) 582-1041	Secretary@DonnerPartyMountainRunners.com	http://www.donnerpartymountainrunners.com/
102	Turlock Running Club	25	"815 E. Minnesota Ave, Turlock, CA 95382"	(209) 668-6436	trc@turlockrunningclub.com	http://www.turlockrunningclub.com/
103	"North Coast Striders, Inc."	62	"PO Box 1556, Ukiah, CA 95482"	(707) 272-7388	clarkbbt@pacific.net	http://striders.org/
104	Westside Athletic Club	30	"24704 Napa Court, Valencia, CA 91355"	(661) 886-2929	chrisgo@westranchxc.com	http://www.westsideathletics.com/
105	My Coach Larry	45	"6136 Fulton Ave #9, Valley Glen, CA 91401"	(209) 241-8055	snell711@gmail.com	http://www.mycoachlarry.com/
106	Vendurance Tribe	120	"201 lang St, Ventura, CA 93003"	(805) 613-7288	JoshSpiker@Gmail.com	http://www.vendurance.com/
107	Scott Newton dba sole 2 Soul Sports and Go For It Events	30	"4241 S Mooney Blv, Visalia, CA 93277"	(559) 627-5522	scott@sole2soulsports.com	http://www.sole2soulsports.com/
108	Visalia Runners	62	"PO Box 2575, Visalia, CA 93279-2575"	(507) 272-7517	president@visaliarunners.org	http://www.visaliarunners.org/
109	Panther Cross Country Booster Club	70	"1 Panther Way, Vista, CA 92084"	(760) 726-5611	jmcmuro@sbcglobal.net	http://eteamz.active.com/vhspanthers/
110	Wrong Distance Runners	10	"3052 Rubicon Way, West Sacramento, CA 85691"	(916) 606-3327	N/A	N/A
111	Conejo Valley Trail Runners	40	"32130 Watergate Rd., Westlake Village, CA 91361"	(818) 620-3637	janna@cvtrailrunners.com	http://www.cvtrailrunners.com/
112	Sylvia Goodman's Summer Fun Run 2014	50	"Box # 614, Woodacre, CA 94973"	(650) 219-1729	rlrancho@sbcglobal.net	N/A
