Sr No.	Club Name	Households	Address	Contact Number	Email ID	Website
34	Naperville Running Company	250	"34 W Jefferson Ave, Naperville, IL 60540"	(630) 357-1900	kris@runningcompany.com	http://www.runningcompany.com/
35	Lake Run Club	541	"PO Box 742, Normal, IL 61761"	(309) 557-6170	boblambo@aol.com	http://www.lakerunclub.org/
36	Oak Park Runners Club	264	"PO Box 2322, Oal Park, IL 60303"	N/A	oprc@oprc.net	http://www.oprc.net/
37	Illinois Valley Striders	512	"311 Water St., Suite 206, Peoria, IL 61602"	(309) 303-3467	sss@mtco.com	http://www.ivs.org/
38	St. Jude Runners Association	145	"4722 N. Sheridan Rd. , Peoria, IL 61614"	(309) 679-4580	csmith@pekininsurance.com	http://www.stjuderuns.org/
39	Peoria Area Track & Field Club	200	"4450 N. Prospect Rd, Peoria Heights, IL 61616"	(309) 676-6378	brad@runningcentral.com	http://www.patfc.org/
40	Misfits Endurance and Triathlon Club	37	"515 E Lee St, Plano, IL 60545"	(630) 605-1255	kristenlwade@yahoo.com	http://www.midwestmisfits.blogspot.com/
41	Heartland Road Runners & Walkers Club147	147	"P O Box 5093, Quincy, IL 62301"	(217) 222-7582	hrrc@InsightBB.com	http://www.heartlandroadrunnersclub.com/
42	"Rock River Striders Running Club, Inc."	45	"P.O. Box 4271, Rock Island, IL 61201"	(309) 788-0500	4006rw@gmail.com	http://rockriverstriders.com/
43	Rockford Road Runners	366	"P.O. Box 7991, Rockford, IL 61126"	(815) 654-3252	admin@rockfordroadrunners.org	http://www.rockfordroadrunners.org/
44	Prairie State Road Runners	140	"20956 S Ron Lee Drive, Shorewood, IL 60404"	(815) 725-0161	daverun@aol.com	http://www.prairiestateroadrunners.net/
45	Springfield Road Runners Club	560	"PO Box 997, Springfield, IL 62705"	(217) 341-7782	info@sprrc.net	http://www.sprrc.net/
46	PR-Performance Running	N/A	"P.O. Box 283, St. Charles, IL 60174"	N/A	N/A	N/A
47	Rock River Road Runners	25	"P.O. Box 375, Sterling, IL 61081"	N/A	N/A	http://www.rockriverroadrunners.org/
48	CU Racing Team	25	"819 Oakland Avenue Apt. 102, Urbana, IL 61802"	(612) 245-4553	ostwink1@illinois.edu	N/A
49	Chicago Asian Running and Endurance	10	"1215 Hillcrest Lane, Woodridge, IL 60517"	(312) 286-0263	arnez@gocarego.com	http://www.gocarego.com/
